Date,Price,Open,High,Low,Volume,Change(%)
2-Feb-18,383.75,392,397.4,381.3,10070356,-2.51%
1-Feb-18,393.65,399.9,403.8,390.55,7259426,-1.46%
31-Jan-18,399.5,395.5,400.95,395.25,5111454,0.92%
30-Jan-18,395.85,400,402.3,395,6963005,-0.85%
29-Jan-18,399.25,402.5,405.9,398.1,5789602,-0.26%
25-Jan-18,400.3,403.45,407.65,398,16312167,-0.82%
24-Jan-18,403.6,416,416.25,402.65,10789570,-3.44%
23-Jan-18,418,422.8,422.8,414.75,6185011,-0.92%
22-Jan-18,421.9,419.05,424.4,418.45,4643782,0.92%
19-Jan-18,418.05,415.2,421.95,415.05,3894062,-0.21%
18-Jan-18,418.95,424,428.3,414.45,9579830,-0.95%
17-Jan-18,422.95,422.05,424.5,410.1,10204447,0.25%
16-Jan-18,421.9,433,435.2,419.5,5623745,-2.42%
15-Jan-18,432.35,438.05,440.05,431.05,4042775,-1.09%
12-Jan-18,437.1,437,441.45,432.1,7408870,0.54%
11-Jan-18,434.75,433.5,437.6,432.9,4565005,0.33%
10-Jan-18,433.3,438,439.3,431.3,4702579,-0.97%
9-Jan-18,437.55,434.25,443.5,433,12629045,0.92%
8-Jan-18,433.55,432,436.2,431.65,4635214,0.45%
5-Jan-18,431.6,431.25,436.35,429.8,7021611,0.38%
4-Jan-18,429.95,430,433.3,425.75,8395377,-0.91%
3-Jan-18,433.9,440.4,441.4,431.95,9794953,-1.23%
2-Jan-18,439.3,428.85,440.85,422,15331261,3.50%
1-Jan-18,424.45,430.95,436.4,422.25,6807536,-1.71%
29-Dec-17,431.85,418,433.45,417.15,8640908,3.17%
28-Dec-17,418.6,423.5,423.7,416,5018893,-0.91%
27-Dec-17,422.45,423.5,428.45,420.3,3673355,-0.41%
26-Dec-17,424.2,422,425.15,421.15,3700655,0.52%
22-Dec-17,422,422.05,426.4,420.9,5345261,0.29%
21-Dec-17,420.8,424,426.05,419.55,4885225,-0.43%
20-Dec-17,422.6,421.95,427.75,419.25,11191127,0.60%
19-Dec-17,420.1,407.35,421.7,407.35,9686883,3.52%
18-Dec-17,405.8,399,409.9,389.3,5356208,0.17%
15-Dec-17,405.1,406.5,409,404.2,5614113,0.67%
14-Dec-17,402.4,404,404.55,398.2,4674026,0.11%
13-Dec-17,401.95,407,409.85,400,5140689,-1.20%
12-Dec-17,406.85,411.55,415.5,405.95,6151197,-0.80%
11-Dec-17,410.15,412,415.2,409.05,5066242,-0.24%
8-Dec-17,411.15,406,413.75,406,12288946,2.28%
7-Dec-17,402,398,405.3,397.15,7998863,1.25%
6-Dec-17,397.05,400.2,404,395,5573968,-1.29%
5-Dec-17,402.25,404.55,405.5,396.55,7144542,-0.35%
